표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
가렵다	[형용사][방언]	VA	00_00_00	가룹다, 가립다, 간지룹다, 개랩다, 개럽다, 개렵다, 개롭다, 개룹다, 개릅다, 개립다, 갠지럽다, 게롭다	가럽다, 가롭다, 개렵다	가지랍다, 겅그럽다, 재그럽다, 지거럽다, 가랍다, 가립다, 간가랍다, 간저럽다, 간지랍다, 개랍다, 개롭다, 건거럽다, 건지랍다, 굼지럽다, 껀지럽다, 께거럽다, 께꺼럽다, 제거럽다	지거럽다, 지그럽다, 가럽다, 가룹다, 가립다, 간지랍다, 개랍다, 개럽다, 개롭다, 개룹다, 갠지랍다, 갠지럽다, 갠지롭다, 거럽다, 건거럽다, 건지랍다, 굼지럽다, 지럽다	게랍다, 가랍다, 가릅다, 간지랍다, 간지롭다, 간지룹다, 개랍다, 개럽다, 개렵다, 개롭다, 개룹다, 개릅다, 갠지랍다, 갠지럽다, 근지롭다	가랍다, 가룹다, 개랍다, 개렵다, 개롭다, 개룹다	가럅다, 가럽다, 가려웁다, 가립다, 갈겁다, 갈그럽다, 개랍다, 개럽다, 개렵다, 개립다, 게렵다, 까렵다	갈굽다, 갈겁다, 갈구럽다, 갈그럽다, 갈기럽다, 개럽다, 개렵다, 개롭다, 개룹다, 갠지럽다, 갤굽다, 갤기럽다, 게룹다	가랍다, 가룝다, 가룹다, 가릅다	배릅다, 가랍다, 개럽다, 개렵다, 개룹다, 개릅다, 개립다, 게롭다	개럽다, 개렵다, 개롭다, 개릅다, 개립다, 게롭다, 그니럽다	바랍다, 가랍다, 개랍다, 개럽다, 개롭다, 배랍다, 배렵다	가랍다, 가럽다, 개랍다	가립다, 개럽다, 개렵다, 개릅다	가랍다, 가럽다, 갈그럽다, 개럽다, 개렵다	개럽다, 개렵다, 개롭다	가랍다, 가럽다, 간가랍다, 굼지럽다	 	피부에 긁고 싶은 느낌이 있다.
가령	[부사][방언]	MAG	00_00_00	 	 	 	가렁	갈량	 	 	 	 	 	 	 	 	 	 	 	가렁	 	미존재 뜻풀이
가로	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가로셍이, 가르셍이, 가르셍이	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가로거치다	[동사][방언]	VV	00_00_00	갈거치다, 갈기치다, 걸그치다	 	 	 	 	 	가러고치다	 	 	 	 	 	 	 	 	 	 	 	앞에서 거치적거려 방해가 되다.
가로금	[명사][방언]	NNG	00_00_00	가루금	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가로로 그은 금.
가로놓다	[동사][방언]	VV	00_00_00	가루놓다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가로질러 놓다.
가로놓이다	[동사][방언]	VV	00_00_00	가루놓키다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가로질러 놓다.
가로누이다	[동사][방언]	VV	00_00_00	가루누키다, 가루뉘키다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가로로 또는 옆쪽으로 눕다.
가로눕히다	[동사][방언]	VV	00_00_00	 	 	가로닙히다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가로로 또는 옆쪽으로 눕다.
가로다지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	가루제비	 	 	 	 	 	가로로 된 방향.
가로막	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	간쌈	 	 	 	 	 	 	 	 	 	포유류의 배와 가슴 사이에 있는 막
가로막다	[동사][방언]	VV	00_00_00	가루막다	 	 	하기지기다	가라막다	 	 	 	가르막다	 	 	 	 	 	 	 	 	 	앞을 가로질러 막다.
가로막히다	[동사][방언]	VV	00_00_00	가루막히다, 가루맥히다	 	가로맥히다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	앞을 가로질러 막다.
가로맡다	[동사][방언]	VV	00_00_00	 	 	 	하긔지기다	 	 	 	 	가로마트다	 	가루맡다	 	 	 	 	 	 	 	남의 할 일을 가로채서 맡거나 대신해서 맡다.
가로변	[명사][방언]	NNG	00_00_00	가루벤	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	시가지의 큰길가.
가로보다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	가루보다	 	가루보다	 	 	 	가로 방향으로 훑어보거나 보아 나가다.
가로서다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가로사다	 	 	 	 	 	 	 	 	 	가로 방향으로 나란히 서다.
가로세로	[명사][방언]	NNG	00_00_00	가루세루	 	 	 	 	 	 	 	가로지스로, 가로질스로	 	 	 	 	 	 	 	 	 	가로와 세로를 아울러 이르는 말.
가로지르다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가로질르다	 	 	 	 	 	 	 	 	 	양쪽 사이에 기다란 막대나 줄 따위를 가로로 놓거나 꽂다
가로채다	[동사][방언]	VV	00_00_00	가루채다	 	 	 	가라채다	 	 	 	가로체다	 	 	해끼다	 	 	 	 	 	 	옆에서 갑자기 쳐서 빼앗다.
가로퍼지다	[동사][방언]	VV	00_00_00	가루퍼지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	옆으로 자라거나 커지다.
가로획	[명사][방언]	NNG	00_00_00	가루획	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	글자에서 가로로 긋는 획.
가루	[명사][방언]	NNG	00_00_00	갈그	 	까루	까루, 깕	 	까루	 	 	가르이, 까루, 까르	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가루	[명사][방언]	NNG	01_00_00	갈구, 갈기	 	갈리	갈기, 갈리	 	 	 	 	가를	갈기	갈기, 갉	 	 	갈루	 	 	 	 	딱딱한 물건을 보드라울 정도로 잘게 부수거나 갈아서 만든 것
가루눈	[명사][방언]	NNG	00_00_00	갈그눈, 갈기눈, 깔껭이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가루다	[동사][방언]	VV	00_00_00	갈브다	 	갈바싸우다	갈르다	갈보다, 갈비다	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가루다	[동사][방언]	VV	01_00_00	 	 	갈부다, 감다	갈부다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	자리 따위를 함께 나란히 하다.
가꿈가더가	[동사][방언]	VV	01_00_02	 	 	갋다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가루분	[명사][방언]	NNG	00_00_00	갈그분, 갈기분	 	가리분, 딱분	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가루 상태로 만든 분.
가루비누	[명사][방언]	NNG	00_00_00	갈그비눌, 갈기비누, 갈기비눌	가룻비누, 갈루비누	가리비늘, 가리사분	 	비누가루, 비누가리, 비눗가리	비누가루	가룻비누	 	 	 	 	 	가르비늘, 갈기비누리, 갈기비느리	 	 	 	 	 	가루 상태로 만든 비누.
가루사탕	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가를사탕	 	 	 	 	 	 	 	 	 	맛이 달고 물에 잘 녹는 결정체
가루소금	[명사][방언]	NNG	00_00_00	 	 	가리소곰, 가리소금	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	입자가 굵지 않고 고운 소금.
가루약	[명사][방언]	NNG	00_00_00	갈그약, 갈기약	 	가리약	 	 	 	 	 	가로약, 가를약	 	 	 	 	 	 	 	 	 	가루로 된 약.
가루우유	[명사][방언]	NNG	00_00_00	갈그우유, 갈기우유	 	가리우유	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	우유 속의 수분을 증발시키고 농축하여 가루로 만든 것.
가루음식	[명사][방언]	NNG	00_00_00	 	 	가리임석	 	 	 	 	 	가로음식, 가를음식	 	 	 	 	 	 	 	 	 	가루로 만든 음식.
가루좀	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	뒝	뒝	 	 	 	 	 	 	 	 	 	 	삭은 나무나 뜬 메주 따위에 구멍을 뚫어 가루를 내는 곤충
가루즙	[명사][방언]	NNG	00_00_00	 	 	가리집	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가루를 묽게 푼 물.
가르다	[동사][방언]	VV	00_00_00	갈르다, 때개다, 때기다	갈르다	갈르다	타다, 갈르다	갈르다	갈러다, 갈르다	갈르다	갈르다	갈르다	 	 	갉다	갉다	갈루다	 	 	 	 	쪼개거나 나누어 따로따로 구별하다.
가르랑가르랑	[부사][방언]	MAG	00_00_00	 	 	 	개롱개롱, 개릉개릉	 	 	 	 	하르랑하르랑, 흘그랑흘그랑	 	 	 	 	 	 	 	 	 	목구멍에 가래 따위가 걸려 숨을 쉴 때 자꾸 가치작거리는 소리
가르마	[명사][방언]	NNG	00_00_00	가름배, 가름재, 가름패, 가르매, 가름마, 가름매, 가림배	가름자, 가름마, 가름바, 가리매	가래미, 가래매, 가랜매, 가르매, 가른매, 가름매, 가리매, 가리미, 개리미, 까리매, 깔매, 머릿딩이	가늠베, 가름배, 가리페, 가르매, 가르페, 가름마, 가름매, 가리매, 가리미, 가리배, 가리패, 가리피, 가림비, 가림패, 그름마, 그름베, 까리매, 깔매	가그매, 가르매, 가름매, 가리매	가래매, 가루마, 가루매, 가르매, 가리매, 가리미	가름배, 가름자, 가림매, 가루마, 가르매, 가름마, 가름매, 가름바, 가리매, 가림마	가름배, 가람배, 가룸마, 가르매, 가름마, 가름매, 가림마, 가림배	 	골타기, 머리골	골타기	가림, 골타기, 가르매, 가리매, 가리미	머리끔, 가리금, 가림금	골, 가로마, 가루마	가르매, 가리금, 가리매, 가림금	 	가르매, 가리매, 가리미, 까리매, 깔매	 	이마에서 정수리까지의 머리카락을 양쪽으로 갈랐을 때 생기는 금
가르치다	[동사][방언]	VV	00_00_00	갈르치다, 갈르키다, 갈체주다	갈키다	가라치다, 가래치다, 갈차주다, 갈차다, 갈추다, 갈키다, 개라차다, 개리치다, 갤마다, 갤주다, 갤차주다, 갤차다, 갤추다, 갤치다, 갤카주다, 갤카다, 걸차주다, 컬카주다	가라치다, 가래치다, 갈체다, 갈추다, 갈케다, 갈키다, 갤차다	가라치다, 갈체다, 갈촤주다, 갈케주다, 갈키다, 개리치다, 갤차다, 갤채다, 갤추다, 갤치다, 갤키다, 아르치다	갈체다, 갈촤주다, 갈케주다, 아르치다	갈키다	가르끼다, 가르체다, 갈키다	 	가라치다, 보에주다	보에주다	갈치야주다	배와주다, 알으키다, 알캐주다	 	 	 	가래치다	 	미존재 뜻풀이
가르치다	[동사][방언]	VV	01_00_00	 	 	게르치다, 겔추다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	지식이나 기능, 이치 따위를 깨닫거나 익히게 하다.
가르침	[명사][방언]	NNG	00_00_00	가르킴, 가리침	 	 	 	갈침	 	 	 	 	 	 	 	 	 	 	 	 	 	도리나 지식, 사상, 기술 따위를 알게 함. 
가리	[명사][방언]	NNG	00_00_00	 	 	가레, 발가리, 베늘, 벼느리, 비까리	가래이	거름자리, 베늘	비눌가리, 새반가리	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가리	[명사][방언]	NNG	02_00_00	 	 	두루가리	 	 	 	 	누리	눌	 	 	 	 	 	 	 	 	 	단으로 묶은 곡식이나 장작 따위를 차곡차곡 쌓은 더미.
가리가리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	갈리갈리	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가리다	[동사][방언]	VV	00_00_00	가리쿠다, 갈루다	 	가라다, 가레다	가레다, 갈게다, 갈레다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가리다	[동사][방언]	VV	01_00_00	 	 	 	 	 	 	 	 	 	 	갈기다	 	 	 	 	 	 	 	보이거나 통하지 못하도록 막히다.
가리다	[동사][방언]	VV	02_00_00	 	 	개루다	 	 	 	 	 	갈희다	 	 	 	 	 	 	 	 	 	보이거나 통하지 못하도록 막다.
가리다	[동사][방언]	VV	03_00_00	 	 	개라다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	여럿 가운데서 하나를 구별하여 고르다.
가리다	[동사][방언]	VV	04_00_00	 	 	 	 	 	 	 	 	눌다	 	 	 	 	 	 	 	 	 	곡식이나 장작 따위의 단을 차곡차곡 쌓아 올려 더미를 짓다
가리마	[명사][방언]	NNG	00_00_00	 	 	 	 	개리매	개리매	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가리비	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	밥조개	 	 	 	 	 	 	 	 	 	가리빗과와 큰집가리빗과의 조개를 통틀어 이르는 말
가리사니	[명사][방언]	NNG	00_00_00	 	 	 	 	가리생이	가리생이	 	 	 	 	 	 	 	 	 	 	 	 	사물을 판단할 만한 지각(知覺).
가리키다	[동사][방언]	VV	00_00_00	가라치다	가라치다	가라치다, 갈차다, 갈추다, 갈키다, 개리치다, 갤차주다, 갤차다, 갤추다, 갤치다, 갤카다, 갤쿠다, 갤키다, 전자다	가라치다, 갈게다, 갈체다, 갈추다, 갈케다, 갈키다	가라치다, 갈키다, 개리키다, 갤추다, 갤치다	가라치다, 갈키다, 개리키다	가라치다, 개려치다, 아리키다, 일러주다	가라치다, 갈키다	가라치다	 	 	 	 	 	갈키다	 	 	 	미존재 뜻풀이
가마	[명사][방언]	NNG	00_00_00	수가마, 수가매, 쥐가마, 쥐가매	가름마, 까마, 수가마	가르매	 	가그매, 가르매, 가매꼭지, 버리가매	머리가매, 육철	 	 	 	 	 	 	기매	 	 	 	 	 	미존재 뜻풀이
가마	[명사][방언]	NNG	03_00_00	숫가매	 	 	 	가메꼭지	 	 	 	상가메	 	 	 	 	 	 	 	 	 	사람의 머리나 일부 짐승의 대가리에 털이 한곳을 중심으로 빙 돌아 나서 소용돌이 모양으로 된 부분
가마	[명사][방언]	NNG	05_00_00	 	 	 	 	 	 	 	 	 	신개	신개	 	 	 	 	 	 	 	예전에, 한 사람이 안에 타고 둘이나 넷이 들거나 메던, 조그만 집 모양의 탈것
가마꾼	[명사][방언]	NNG	00_00_00	가매꾼	 	 	 	 	 	가마잽이, 가마질꾼	 	 	 	 	 	 	 	 	 	 	 	가마를 메는 사람.
가마니	[명사][방언]	NNG	00_00_00	가마이, 가마스, 가망이, 가무니, 꺼치기	가마이, 가마짝, 가무니	가마이, 가망이, 가매이, 가무니, 꺼적, 꺼지기	가마이, 가망이, 가매니, 가매이, 가무니, 꺼적, 꺼지기	가마이, 가매기, 가매이, 가무니	가마이, 가매이, 가무니	가마이, 가무니, 메거리	가마이, 가무니, 꺼적	가마이, 가메기, 가멩이, 가무니	 	 	 	가마시	 	가마이, 가마시	 	가마이, 가망이	 	미존재 뜻풀이
가마니	[명사][방언]	NNG	01_00_00	 	가메	가만때기, 가미이	가만때기, 가말때기	 	 	 	 	 	 	 	건치	 	 	 	 	 	 	곡식이나 소금 따위를 담기 위하여 짚을 돗자리 치듯이 쳐서 만든 용기
가마니때기	[명사][방언]	NNG	00_00_00	 	 	가만때기, 가마이때기, 가마이때이	가마이때기, 가마이띠기, 가미때기	가매이때기	가미때기	 	 	가맹이터기, 가메기테기, 가멩이테기	 	가마니뙈기	 	 	 	 	 	 	 	물건을 넣는 용기로 쓸 수 없는 낡은 가마니.
가마니바늘	[명사][방언]	NNG	00_00_00	 	 	 	가마이바늘	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가마니 따위를 꿰매는 데 쓰는 큰 쇠 바늘
가마니틀	[명사][방언]	NNG	00_00_00	 	가마틀	 	가마이틀, 가매이틀	가멩이틀	 	 	 	가마니클, 가멩이클, 가멩이틀	 	 	 	 	 	 	 	 	 	가마니를 짜는 데 쓰는 재래식 기구.
가마득하다	[형용사][방언]	VA	00_00_00	 	 	감가무리하다	 	 	 	 	 	가마뜩하다	 	 	 	 	 	 	 	 	 	거리가 매우 멀어 아득하다.
가마때기	[명사][방언]	NNG	00_00_00	가마띠기, 가매때기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 물건을 넣는 용기로 쓸 수 없는 낡은 가마니.
가마뚜껑	[명사][방언]	NNG	00_00_00	 	 	 	 	가매뚜벙	 	 	 	 	 	 	가매드봉, 가매뚜께, 가매뚜베, 가매뚜벵	 	 	 	 	 	 	사람이 타는 가마 위에 지붕같이 씌운 덮개.
가마멀미	[명사][방언]	NNG	00_00_00	 	 	가매멀미	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가마를 탔을 때에, 흔들림 때문에 일어나는 메스껍고 어지러운 증세
가마솥	[명사][방언]	NNG	00_00_00	가매솥	가마섯, 가마솟, 쉐물솟, 지북솟	가매솣, 가매솥, 서말에치솥, 서말찌솥	가매솥, 기발조디	가마솟, 가맛솟, 가매솟, 가매솥, 가맷솟, 가맷솥, 감마솟, 개맛솟, 개매솟, 개매솥, 개맷솟, 버래솟, 버래솥, 버레솟, 쇠여물솟, 쇳물솟, 쇳물솥, 여물솟, 육철솟, 조선솟	가마솟, 가매솟, 가매솥, 개마솟, 개맷솟, 버레솟, 쇳물솟	가마솟, 가매솥, 쇠물솥	가마솟, 가마솣, 가매솥	다가리솟	가매솥	가매솥	 	 	노그제	 	 	 	 	아주 크고 우묵한 솥.
가마우지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	가마우디	가마우디	 	 	 	 	 	 	 	가마우짓과의 가마우지, 민물가마우지, 쇠가마우지 따위를 통틀어 이르는 말
가마채	[명사][방언]	NNG	00_00_00	 	 	가매채	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가마 밑 양편에 앞뒤로 나오게 세로로 지르는 기다란 나무
가마타기	[명사][방언]	NNG	00_00_00	가매타기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	어린이 놀이의 하나
가마터	[명사][방언]	NNG	00_00_00	가매터	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	질그릇이나 사기그릇, 기와 따위를 굽는 가마가 있던 옛터
가막사리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	감기판	 	 	 	 	 	 	 	 	 	국화과의 한해살이풀
가막조개	[명사][방언]	NNG	00_00_00	 	 	 	까만조개	 	 	 	 	가막조겡이	 	 	 	 	 	 	 	 	 	백합과의 조개
가만	[부사][방언]	MAG	00_00_00	 	 	 	 	카만	 	 	 	 	 	 	 	 	 	 	 	 	 	움직이지 않거나 아무 말 없이.
가만가만	[부사][방언]	MAG	00_00_00	 	 	 	 	가망가망	 	 	 	 	 	 	 	 	 	 	 	 	 	큰 소리가 나지 않도록 조용조용.
가만가만히	[부사][방언]	MAG	00_00_00	 	 	 	가마가마이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	큰 소리가 나지 않도록 조용조용.
가만두다	[동사][방언]	VV	00_00_00	 	 	 	 	카만두다, 칸두다	 	 	 	 	 	 	 	 	 	 	 	 	 	건드리거나 상관하지 않고 그대로 두다.
가만있다	[동사][방언]	VV	00_00_00	가마이있다	 	 	 	가마있다, 카만있다	 	 	 	가만잇다	 	 	 	 	 	 	 	 	 	몸을 움직이거나 활동하지 않고 조용히 있다.
가만히	[부사][방언]	MAG	00_00_00	가마이, 가마히, 가만뎅이, 가망데이, 가망디이	가마이	가마이, 가마히	가마이, 가마히, 가마꼬, 가망이	카만히, 가마이, 카마이	 	가마히, 거만이	가마이, 가망쩔애, 가망대이루, 가망동으루	가만서, 가만이, 오도낫이	 	 	내써시	 	 	 	 	 	 	움직이지 않거나 아무 말 없이.
가맛바가지	[명사][방언]	NNG	00_00_00	 	 	감바가치, 감바치	감바가치, 감박재기	가맛바가치, 가매바가치, 가맷바가치, 가맷박, 개막바가치, 개맷바가치	가매바가치, 가매박적, 개맷바가치	가매쪽박	가매쪽박	 	 	 	 	 	 	 	 	 	 	쇠죽을 푸는데 쓰는, 자루가 달린 큰 바가지.
가맛전	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가매전	가매전	 	 	 	 	 	가마솥에서 위쪽 가장자리의 넓적한 부분.
가매장하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	고래장하다	 	 	 	 	 	 	 	 	 	 	시체를 임시로 묻음. '임시 매장'으로 순화.
가면	[명사][방언]	NNG	00_00_00	가멘	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가면극	[명사][방언]	NNG	00_00_00	가멘극	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	탈을 쓰고 하는 연극.
가묘	[명사][방언]	NNG	00_00_00	 	 	 	가뫼	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가무러지다	[동사][방언]	VV	00_00_00	 	 	 	 	강그러지다	 	 	 	 	 	 	 	 	 	 	 	 	 	정신이 가물가물해지다.
가무러치다	[동사][방언]	VV	00_00_00	가물치다	 	 	 	가물치다	가물치다	 	 	 	 	 	 	 	 	 	 	 	 	얼마 동안 정신을 잃고 죽은 사람처럼 되다.
가무리다	[동사][방언]	VV	00_00_00	 	 	 	갈밀다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	몰래 혼자 차지하거나 흔적도 없이 먹어 버리다.
가무스름하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	가모롱하다, 가모소롱하다, 가모속속하다, 가모초초하다	 	가무수룸하다	 	 	 	 	 	 	 	빛깔이 조금 감은 듯하다.
가무잡잡하다	[형용사][방언]	VA	00_00_00	까무잡하다, 깜초하다	 	 	 	꺼므찹찹하다	꺼므찹찹하다	 	 	 	 	 	 	 	 	 	 	 	 	약간 짙게 가무스름하다.
가문	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	오래	 	 	 	 	 	 	가족 또는 가까운 일가로 이루어진 공동체. 
가문비	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	감비	 	 	 	 	 	소나뭇과의 상록 침엽 교목
가물	[명사][방언]	NNG	00_00_00	 	 	 	 	가믈	 	 	 	가믈	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가물다	[동사][방언]	VV	00_00_00	가믈다	 	가무다	 	 	 	 	 	가믈다	 	 	 	 	 	 	 	 	 	땅의 물기가 바싹 마를 정도로 오랫동안 계속하여 비가 오지 않다
가물치	[명사][방언]	NNG	00_00_00	까물치, 사두치	 	 	까무치, 까물치	 	가말치	 	 	 	 	가물티	가마무치	 	 	 	 	 	 	미존재 뜻풀이
가물치	[명사][방언]	NNG	01_00_00	 	 	 	 	까마치	 	 	 	가마치	 	 	 	 	 	 	 	 	 	가물칫과의 민물고기
가물치곰	[명사][방언]	NNG	00_00_00	 	 	가무치곰	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가물치를 푹 고아 만든 국
가물치회	[명사][방언]	NNG	00_00_00	 	 	가무치회	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가물치의 살을 잘게 썰어 막걸리에 빨아 초간장이나 초고추장에 버무린 회
가뭄	[명사][방언]	NNG	00_00_00	가믄	 	가무살, 가무름, 가뭄살, 가믐	가무사리	가무럼, 가무름, 가믐	가무럼, 가무룸, 가믐	가무름, 가므름, 가믐	가무름, 가믐	가믐	 	 	 	 	 	 	 	 	 	오랫동안 계속하여 비가 내리지 않아 메마른 날씨.
가뭄더위	[명사][방언]	NNG	00_00_00	가뭄더우, 가믐더우	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	여름철에 가뭄으로 더 덥게 느껴지는 더위.
